timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:41:26.918632,0.2537,0.076,0.1384,-0.1334,-0.0264
2026-02-04T16:41:27.922764,0.1412,0.0673,-0.0491,-0.136,-0.0637
2026-02-04T16:41:28.923341,0.1509,0.0996,-0.0728,-0.1358,-0.0552
2026-02-04T16:41:29.924245,0.1878,0.1169,0.0078,-0.1235,-0.0279
2026-02-04T16:41:30.925759,0.1811,0.0972,0.036,-0.1481,0.004
2026-02-04T16:41:31.927642,0.1255,0.0887,-0.0165,-0.1801,-0.023
2026-02-04T16:41:32.930050,0.1293,0.101,-0.0129,-0.1881,-0.0798
2026-02-04T16:41:33.931043,0.1568,0.1202,0.0593,-0.1446,-0.0186
2026-02-04T16:41:34.931931,0.1863,0.0918,0.0293,-0.1207,-0.0573
2026-02-04T16:41:35.933694,0.1799,0.0417,-0.0549,-0.1303,-0.1138
2026-02-04T16:41:36.934347,0.0935,0.0618,-0.0641,-0.1424,0.0309
2026-02-04T16:41:37.935830,0.1609,0.0824,-0.0417,-0.1152,0.0284
2026-02-04T16:41:38.937614,0.1658,0.0999,0.0164,-0.129,0.0131
2026-02-04T16:41:39.939182,0.1756,0.1112,0.0228,-0.1361,-0.0322
2026-02-04T16:41:40.940018,0.1548,0.0751,-0.0122,-0.0963,-0.0759
2026-02-04T16:41:41.940653,0.0938,0.044,-0.11,-0.163,-0.0423
2026-02-04T16:41:42.941996,0.0925,0.076,0.0236,-0.2169,0.0258
2026-02-04T16:41:43.943598,0.1323,0.1168,-0.0102,-0.1648,-0.0048
2026-02-04T16:41:44.945178,0.1469,0.0966,-0.0788,-0.1515,-0.0822
2026-02-04T16:41:45.945901,0.123,0.101,-0.0969,-0.1749,-0.1062
2026-02-04T16:41:46.947841,0.3252,0.2445,0.1547,-0.0124,0.1396
2026-02-04T16:41:47.948901,0.1586,0.1355,-0.0262,-0.1244,0.0476
2026-02-04T16:41:48.950425,0.1854,0.1059,-0.0358,-0.1543,0.0737
2026-02-04T16:41:49.953088,0.2828,0.0892,0.0182,-0.0866,0.1435
2026-02-04T16:41:50.953713,0.2789,0.0776,0.0823,-0.0804,0.2197
2026-02-04T16:41:51.954573,0.2799,0.0984,0.1133,-0.0613,0.146
